dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
mep,19,lr,Baseline,Baseline,-0.058,-0.061,-0.044,-0.041,-0.095,-0.055,-0.096,-0.177,-0.109,0.861,0.69,0.765,0.659,0.023773,2.888671875
mep,19,rf,Baseline,Baseline,-0.045,-0.02,-0.018,-0.033,-0.032,-0.024,-0.076,-0.043,-0.038,0.863,0.7,0.768,0.669,0.732261,25713.5546875
mep,19,svm,Baseline,Baseline,-0.049,-0.038,-0.03,-0.034,-0.08,-0.045,-0.081,-0.126,-0.079,0.861,0.684,0.766,0.652,0.066093,2.767578125
mep,19,xgb,Baseline,Baseline,-0.063,-0.011,-0.024,-0.034,-0.045,-0.03,-0.097,-0.035,-0.044,0.859,0.707,0.749,0.683,0.155285,351.580078125
mep,20,lr,Baseline,Baseline,-0.066,-0.099,-0.065,-0.027,-0.028,-0.018,-0.089,-0.102,-0.069,0.858,0.701,0.767,0.671,0.023512,2.888671875
mep,20,rf,Baseline,Baseline,-0.053,-0.043,-0.035,-0.03,-0.054,-0.03,-0.078,-0.086,-0.058,0.854,0.697,0.755,0.67,0.723942,25183.8671875
mep,20,svm,Baseline,Baseline,-0.056,-0.084,-0.054,-0.012,0.017,0.009,-0.066,-0.048,-0.035,0.857,0.694,0.768,0.663,0.066778,2.767578125
mep,20,xgb,Baseline,Baseline,-0.075,-0.057,-0.053,-0.037,-0.079,-0.044,-0.108,-0.088,-0.073,0.846,0.701,0.73,0.682,0.149816,343.48046875
mep,21,lr,Baseline,Baseline,-0.056,-0.037,-0.035,-0.041,-0.075,-0.047,-0.098,-0.142,-0.096,0.858,0.684,0.758,0.654,0.024022,2.888671875
mep,21,rf,Baseline,Baseline,-0.034,0.028,0.006,-0.04,-0.11,-0.061,-0.078,-0.124,-0.076,0.858,0.689,0.754,0.66,0.717985,25218.2421875
mep,21,svm,Baseline,Baseline,-0.05,-0.03,-0.029,-0.028,-0.044,-0.027,-0.079,-0.098,-0.068,0.856,0.67,0.754,0.64,0.068941,2.767578125
mep,21,xgb,Baseline,Baseline,-0.062,-0.025,-0.031,-0.05,-0.067,-0.048,-0.116,-0.147,-0.106,0.85,0.695,0.729,0.674,0.147045,342.35546875
mep,22,lr,Baseline,Baseline,-0.065,-0.062,-0.049,-0.036,-0.042,-0.029,-0.1,-0.112,-0.081,0.856,0.697,0.767,0.666,0.024651,2.888671875
mep,22,rf,Baseline,Baseline,-0.048,-0.006,-0.016,-0.032,-0.031,-0.022,-0.08,-0.065,-0.05,0.856,0.704,0.763,0.676,0.714856,25129.9609375
mep,22,svm,Baseline,Baseline,-0.053,-0.04,-0.034,-0.027,-0.017,-0.014,-0.081,-0.071,-0.054,0.856,0.688,0.77,0.657,0.06415,2.767578125
mep,22,xgb,Baseline,Baseline,-0.061,0.002,-0.019,-0.049,-0.058,-0.042,-0.112,-0.085,-0.075,0.853,0.712,0.749,0.69,0.158119,348.064453125
mep,23,lr,Baseline,Baseline,-0.064,-0.051,-0.042,-0.035,-0.097,-0.053,-0.101,-0.172,-0.108,0.86,0.694,0.761,0.664,0.021804,2.888671875
mep,23,rf,Baseline,Baseline,-0.047,-0.035,-0.025,-0.025,-0.06,-0.032,-0.072,-0.117,-0.068,0.861,0.699,0.766,0.668,0.728181,25739.0234375
mep,23,svm,Baseline,Baseline,-0.056,-0.054,-0.039,-0.019,-0.05,-0.025,-0.077,-0.111,-0.069,0.859,0.686,0.762,0.656,0.065991,2.767578125
mep,23,xgb,Baseline,Baseline,-0.051,0.008,-0.008,-0.036,-0.085,-0.048,-0.089,-0.082,-0.059,0.857,0.709,0.745,0.687,0.156105,344.275390625
