dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,age_mean_diff,age_eq_opp_diff,age_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
german,21,rf,Baseline,Baseline,-0.059,-0.033,-0.021,-0.171,-0.121,-0.131,-0.177,-0.114,-0.126,0.751,0.662,0.738,0.651,0.080513,2705.1806640625
german,21,svm,Baseline,Baseline,-0.055,-0.007,-0.022,-0.117,-0.081,-0.065,-0.134,-0.07,-0.077,0.741,0.683,0.703,0.674,0.005245,4.3720703125
german,21,xgb,Baseline,Baseline,-0.028,-0.016,0.025,-0.079,-0.007,-0.034,-0.096,-0.03,-0.029,0.741,0.68,0.703,0.671,0.134174,190.9775390625
german,22,lr,Baseline,Baseline,-0.055,0.007,0.013,-0.227,-0.218,-0.192,-0.245,-0.188,-0.171,0.761,0.683,0.711,0.671,0.004983,4.4931640625
german,22,rf,Baseline,Baseline,-0.054,-0.007,0.015,-0.172,-0.123,-0.157,-0.185,-0.137,-0.126,0.774,0.674,0.751,0.657,0.069644,2714.0869140625
german,22,svm,Baseline,Baseline,-0.048,0.015,0.017,-0.223,-0.213,-0.189,-0.238,-0.179,-0.166,0.757,0.68,0.706,0.669,0.005857,4.3720703125
german,22,xgb,Baseline,Baseline,-0.061,0.054,-0.048,-0.206,-0.174,-0.184,-0.201,-0.113,-0.191,0.751,0.669,0.697,0.657,0.114549,194.5087890625
german,23,lr,Baseline,Baseline,-0.09,-0.072,-0.063,-0.185,-0.253,-0.113,-0.258,-0.289,-0.177,0.754,0.674,0.708,0.662,0.005531,4.4931640625
german,23,rf,Baseline,Baseline,-0.067,-0.074,-0.021,-0.135,-0.102,-0.088,-0.182,-0.19,-0.104,0.771,0.684,0.742,0.668,0.07381,2733.4619140625
german,23,svm,Baseline,Baseline,-0.084,-0.072,-0.051,-0.181,-0.253,-0.106,-0.252,-0.289,-0.164,0.757,0.68,0.712,0.668,0.004156,4.3720703125
german,23,xgb,Baseline,Baseline,-0.129,-0.106,-0.095,-0.127,-0.085,-0.07,-0.225,-0.203,-0.144,0.771,0.714,0.727,0.706,0.142476,186.8564453125
german,24,lr,Baseline,Baseline,-0.119,-0.091,-0.056,-0.223,-0.326,-0.142,-0.289,-0.352,-0.184,0.751,0.68,0.698,0.67,0.005202,4.4931640625
german,24,rf,Baseline,Baseline,-0.05,-0.049,0.036,-0.054,-0.072,-0.011,-0.043,-0.092,0.056,0.774,0.687,0.744,0.67,0.07923,2716.1181640625
german,24,svm,Baseline,Baseline,-0.126,-0.11,-0.052,-0.245,-0.326,-0.173,-0.296,-0.361,-0.188,0.754,0.685,0.703,0.676,0.003916,4.3720703125
german,24,xgb,Baseline,Baseline,-0.041,-0.013,0.037,-0.103,-0.047,-0.089,-0.115,-0.063,-0.051,0.764,0.701,0.716,0.692,0.116893,190.3251953125
german,25,lr,Baseline,Baseline,-0.062,-0.018,0.0,-0.097,-0.149,-0.014,-0.17,-0.134,-0.034,0.751,0.677,0.707,0.665,0.00482,4.4931640625
german,25,rf,Baseline,Baseline,-0.065,-0.002,-0.017,-0.154,-0.202,-0.075,-0.168,-0.11,-0.055,0.767,0.677,0.748,0.662,0.07805,2687.6806640625
german,25,svm,Baseline,Baseline,-0.062,-0.026,0.005,-0.105,-0.155,-0.023,-0.177,-0.143,-0.038,0.751,0.674,0.708,0.662,0.00577,4.3720703125
german,25,xgb,Baseline,Baseline,-0.072,-0.03,-0.009,-0.084,-0.162,0.001,-0.056,-0.04,0.063,0.734,0.67,0.683,0.663,0.118936,189.6611328125
german,26,lr,Baseline,Baseline,-0.143,-0.083,-0.121,-0.264,-0.309,-0.211,-0.326,-0.306,-0.277,0.744,0.679,0.704,0.668,0.004885,4.4931640625
german,26,rf,Baseline,Baseline,-0.026,-0.0,0.014,-0.035,0.032,-0.018,-0.047,0.019,-0.007,0.764,0.677,0.754,0.663,0.083055,2637.3681640625
german,26,svm,Baseline,Baseline,-0.143,-0.083,-0.121,-0.213,-0.226,-0.17,-0.291,-0.25,-0.249,0.744,0.679,0.704,0.668,0.007289,4.3720703125
german,26,xgb,Baseline,Baseline,-0.115,-0.08,-0.088,-0.008,-0.002,0.025,-0.096,-0.074,-0.054,0.724,0.654,0.676,0.645,0.11994,186.9384765625
german,27,lr,Baseline,Baseline,-0.026,-0.074,0.016,-0.066,-0.048,-0.033,-0.144,-0.146,-0.086,0.718,0.631,0.648,0.624,0.004993,4.4931640625
german,27,rf,Baseline,Baseline,0.024,0.052,0.013,-0.093,-0.101,-0.051,-0.098,-0.08,-0.065,0.738,0.634,0.678,0.624,0.083414,2667.5244140625
german,27,svm,Baseline,Baseline,-0.013,-0.05,0.024,-0.093,-0.069,-0.052,-0.177,-0.156,-0.115,0.744,0.665,0.686,0.656,0.006095,4.3720703125
german,27,xgb,Baseline,Baseline,-0.075,-0.017,-0.106,-0.081,-0.092,-0.033,-0.164,-0.128,-0.139,0.728,0.648,0.663,0.641,0.128254,188.5986328125
german,28,lr,Baseline,Baseline,-0.082,-0.037,-0.075,-0.081,-0.003,0.003,-0.134,-0.014,-0.049,0.757,0.7,0.709,0.693,0.00485,4.4931640625
german,28,rf,Baseline,Baseline,-0.008,-0.023,0.025,-0.028,0.091,0.018,0.013,0.121,0.077,0.721,0.63,0.657,0.623,0.089353,2712.220703125
german,28,svm,Baseline,Baseline,-0.067,-0.018,-0.065,-0.06,-0.003,0.022,-0.098,-0.005,-0.021,0.751,0.689,0.7,0.682,0.005859,4.3720703125
german,28,xgb,Baseline,Baseline,-0.099,-0.113,-0.057,-0.037,-0.032,0.048,-0.063,-0.094,0.031,0.738,0.68,0.685,0.676,0.115288,187.6533203125
german,29,lr,Baseline,Baseline,-0.092,-0.107,0.012,-0.145,-0.242,-0.042,-0.193,-0.289,-0.043,0.754,0.652,0.659,0.647,0.004882,4.4931640625
german,29,rf,Baseline,Baseline,-0.061,-0.07,0.03,-0.062,-0.129,0.02,-0.079,-0.129,0.043,0.771,0.647,0.678,0.634,0.069979,2747.689453125
german,29,svm,Baseline,Baseline,-0.091,-0.107,0.006,-0.181,-0.283,-0.079,-0.229,-0.336,-0.085,0.748,0.639,0.648,0.633,0.006305,4.3720703125
german,29,xgb,Baseline,Baseline,-0.119,-0.103,-0.037,-0.061,-0.089,0.005,-0.138,-0.146,-0.031,0.767,0.671,0.679,0.665,0.116665,191.0537109375
german,30,lr,Baseline,Baseline,-0.064,-0.09,-0.038,-0.262,-0.254,-0.234,-0.268,-0.302,-0.224,0.741,0.66,0.687,0.649,0.004779,4.4931640625
german,30,rf,Baseline,Baseline,0.029,0.045,0.025,-0.04,0.01,-0.028,0.013,0.061,0.016,0.771,0.663,0.765,0.649,0.069909,2750.0244140625
german,30,svm,Baseline,Baseline,-0.049,-0.068,-0.027,-0.242,-0.221,-0.217,-0.236,-0.254,-0.2,0.748,0.666,0.698,0.654,0.005994,4.3720703125
german,30,xgb,Baseline,Baseline,-0.028,-0.016,-0.026,-0.189,-0.194,-0.15,-0.168,-0.159,-0.141,0.764,0.686,0.724,0.672,0.112355,192.8330078125
