dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
adult,7,rf,in,MF,-0.06,-0.107,-0.11,0.027,-0.035,-0.011,-0.005,-0.087,-0.077,0.39,0.363,0.413,0.384,0.828781,14147.978515625
adult,7,svm,in,MF,-0.058,-0.092,-0.101,0.028,-0.028,-0.007,-0.007,-0.087,-0.077,0.393,0.366,0.415,0.387,0.257337,6.576171875
adult,7,xgb,in,MF,-0.054,-0.098,-0.103,0.033,-0.027,-0.005,0.003,-0.087,-0.072,0.39,0.363,0.413,0.385,0.192424,217.7666015625
adult,8,lr,in,MF,-0.066,-0.104,-0.115,0.031,0.012,0.007,-0.018,-0.16,-0.123,0.384,0.358,0.404,0.375,0.052068,6.6748046875
adult,8,rf,in,MF,-0.069,-0.108,-0.118,0.023,0.001,-0.001,-0.025,-0.162,-0.128,0.384,0.358,0.404,0.375,0.843896,14836.884765625
adult,8,svm,in,MF,-0.062,-0.106,-0.113,0.036,0.005,0.008,-0.003,-0.163,-0.116,0.383,0.357,0.404,0.375,0.301386,6.576171875
adult,8,xgb,in,MF,-0.066,-0.105,-0.115,0.031,0.003,0.004,-0.015,-0.164,-0.123,0.383,0.358,0.405,0.376,0.198702,224.7392578125
adult,9,lr,in,MF,-0.059,-0.081,-0.1,0.034,-0.001,0.007,0.006,-0.128,-0.092,0.381,0.357,0.408,0.378,0.04935,6.6748046875
adult,9,rf,in,MF,-0.057,-0.09,-0.102,0.038,-0.002,0.01,0.02,-0.126,-0.084,0.381,0.356,0.407,0.377,0.818141,13875.322265625
adult,9,svm,in,MF,-0.057,-0.085,-0.099,0.036,-0.005,0.007,0.014,-0.132,-0.089,0.382,0.358,0.409,0.38,0.427579,6.576171875
